stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,66.6,66.6,66.51,42.0
1.0,0.0,21.8,21.8,19.74,42.0
1.0,1.0,54.4,54.4,53.97,42.0
2.0,0.0,19.6,19.6,13.85,42.0
2.0,1.0,25.8,25.8,24.66,42.0
2.0,2.0,63.3,63.3,61.32,42.0
3.0,0.0,13.4,13.4,7.61,42.0
3.0,1.0,17.6,17.6,13.49,42.0
3.0,2.0,27.4,27.4,23.62,42.0
3.0,3.0,60.0,60.0,59.59,42.0
4.0,0.0,11.4,11.4,4.73,42.0
4.0,1.0,17.7,17.7,15.13,42.0
4.0,2.0,24.8,24.8,21.04,42.0
4.0,3.0,31.8,31.8,28.83,42.0
4.0,4.0,61.2,61.2,60.73,42.0
5.0,0.0,12.5,12.5,6.2,42.0
5.0,1.0,16.1,16.1,12.46,42.0
5.0,2.0,15.3,15.3,10.5,42.0
5.0,3.0,21.6,21.6,19.35,42.0
5.0,4.0,27.2,27.2,23.76,42.0
5.0,5.0,58.5,58.5,58.45,42.0
6.0,0.0,13.1,13.1,7.45,42.0
6.0,1.0,11.9,11.9,9.69,42.0
6.0,2.0,15.0,15.0,11.57,42.0
6.0,3.0,18.0,18.0,15.4,42.0
6.0,4.0,26.6,26.6,25.48,42.0
6.0,5.0,28.5,28.5,28.55,42.0
6.0,6.0,63.4,63.4,63.23,42.0
7.0,0.0,10.6,10.6,3.53,42.0
7.0,1.0,14.7,14.7,11.19,42.0
7.0,2.0,16.2,16.2,11.56,42.0
7.0,3.0,16.6,16.6,13.39,42.0
7.0,4.0,21.3,21.3,16.49,42.0
7.0,5.0,28.5,28.5,26.68,42.0
7.0,6.0,36.7,36.7,35.88,42.0
7.0,7.0,54.1,54.1,54.33,42.0
8.0,0.0,11.0,11.0,3.73,42.0
8.0,1.0,16.6,16.6,15.0,42.0
8.0,2.0,18.6,18.6,15.15,42.0
8.0,3.0,14.1,14.1,10.94,42.0
8.0,4.0,18.8,18.8,14.8,42.0
8.0,5.0,22.3,22.3,19.08,42.0
8.0,6.0,36.8,36.8,37.25,42.0
8.0,7.0,31.7,31.7,32.36,42.0
8.0,8.0,51.3,51.3,50.21,42.0
9.0,0.0,11.6,11.6,4.14,42.0
9.0,1.0,15.1,15.1,12.27,42.0
9.0,2.0,20.6,20.6,15.82,42.0
9.0,3.0,19.2,19.2,16.7,42.0
9.0,4.0,21.4,21.4,18.92,42.0
9.0,5.0,24.3,24.3,21.66,42.0
9.0,6.0,25.8,25.8,25.77,42.0
9.0,7.0,27.1,27.1,28.14,42.0
9.0,8.0,32.1,32.1,31.8,42.0
9.0,9.0,62.0,62.0,60.4,42.0
