stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,58.1,58.1,57.39,2.0
1.0,0.0,53.1,53.1,51.83,2.0
1.0,1.0,54.2,54.2,53.76,2.0
2.0,0.0,51.2,51.2,50.52,2.0
2.0,1.0,46.2,46.2,45.2,2.0
2.0,2.0,60.6,60.6,60.2,2.0
3.0,0.0,46.6,46.6,44.08,2.0
3.0,1.0,44.4,44.4,42.21,2.0
3.0,2.0,50.4,50.4,49.86,2.0
3.0,3.0,61.5,61.5,61.43,2.0
4.0,0.0,47.7,47.7,45.87,2.0
4.0,1.0,40.5,40.5,37.4,2.0
4.0,2.0,53.8,53.8,53.26,2.0
4.0,3.0,47.8,47.8,43.96,2.0
4.0,4.0,65.8,65.8,65.41,2.0
5.0,0.0,46.0,46.0,43.97,2.0
5.0,1.0,39.6,39.6,34.89,2.0
5.0,2.0,49.3,49.3,48.27,2.0
5.0,3.0,46.0,46.0,41.01,2.0
5.0,4.0,54.6,54.6,50.22,2.0
5.0,5.0,64.5,64.5,64.19,2.0
6.0,0.0,46.4,46.4,45.28,2.0
6.0,1.0,42.4,42.4,39.72,2.0
6.0,2.0,51.7,51.7,49.44,2.0
6.0,3.0,41.2,41.2,35.46,2.0
6.0,4.0,54.7,54.7,50.47,2.0
6.0,5.0,51.5,51.5,49.28,2.0
6.0,6.0,59.2,59.2,59.08,2.0
7.0,0.0,48.1,48.1,46.08,2.0
7.0,1.0,41.1,41.1,40.3,2.0
7.0,2.0,50.6,50.6,49.99,2.0
7.0,3.0,39.6,39.6,35.48,2.0
7.0,4.0,52.5,52.5,46.77,2.0
7.0,5.0,48.2,48.2,45.31,2.0
7.0,6.0,48.2,48.2,46.11,2.0
7.0,7.0,65.7,65.7,65.64,2.0
8.0,0.0,45.1,45.1,41.71,2.0
8.0,1.0,41.8,41.8,38.62,2.0
8.0,2.0,45.7,45.7,43.63,2.0
8.0,3.0,43.4,43.4,36.72,2.0
8.0,4.0,52.2,52.2,47.91,2.0
8.0,5.0,48.4,48.4,46.15,2.0
8.0,6.0,44.5,44.5,42.91,2.0
8.0,7.0,52.7,52.7,50.59,2.0
8.0,8.0,66.1,66.1,65.94,2.0
9.0,0.0,46.5,46.5,45.08,2.0
9.0,1.0,38.7,38.7,34.61,2.0
9.0,2.0,48.0,48.0,47.14,2.0
9.0,3.0,42.7,42.7,39.32,2.0
9.0,4.0,49.9,49.9,45.0,2.0
9.0,5.0,42.9,42.9,39.59,2.0
9.0,6.0,44.2,44.2,43.33,2.0
9.0,7.0,53.3,53.3,50.78,2.0
9.0,8.0,52.3,52.3,47.0,2.0
9.0,9.0,60.4,60.4,60.48,2.0
