stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,72.7,72.7,73.08,0.0
1.0,0.0,37.0,37.0,35.96,0.0
1.0,1.0,74.1,74.1,74.09,0.0
2.0,0.0,32.4,32.4,29.06,0.0
2.0,1.0,45.5,45.5,43.9,0.0
2.0,2.0,76.3,76.3,76.28,0.0
3.0,0.0,23.1,23.1,19.15,0.0
3.0,1.0,40.1,40.1,36.93,0.0
3.0,2.0,52.8,52.8,52.08,0.0
3.0,3.0,80.9,80.9,80.85,0.0
4.0,0.0,24.2,24.2,19.9,0.0
4.0,1.0,28.1,28.1,26.35,0.0
4.0,2.0,45.6,45.6,44.52,0.0
4.0,3.0,56.7,56.7,56.81,0.0
4.0,4.0,73.6,73.6,73.46,0.0
5.0,0.0,18.9,18.9,15.53,0.0
5.0,1.0,23.6,23.6,20.02,0.0
5.0,2.0,26.1,26.1,26.74,0.0
5.0,3.0,37.1,37.1,35.52,0.0
5.0,4.0,42.3,42.3,42.32,0.0
5.0,5.0,80.3,80.3,80.68,0.0
6.0,0.0,17.3,17.3,12.65,0.0
6.0,1.0,23.1,23.1,20.49,0.0
6.0,2.0,21.1,21.1,20.87,0.0
6.0,3.0,34.1,34.1,33.36,0.0
6.0,4.0,30.0,30.0,27.51,0.0
6.0,5.0,57.3,57.3,57.26,0.0
6.0,6.0,76.2,76.2,76.55,0.0
7.0,0.0,16.9,16.9,13.15,0.0
7.0,1.0,28.4,28.4,24.7,0.0
7.0,2.0,31.8,31.8,30.19,0.0
7.0,3.0,47.2,47.2,44.87,0.0
7.0,4.0,37.3,37.3,34.98,0.0
7.0,5.0,49.2,49.2,48.73,0.0
7.0,6.0,50.3,50.3,50.32,0.0
7.0,7.0,75.8,75.8,75.79,0.0
8.0,0.0,17.3,17.3,12.2,0.0
8.0,1.0,23.9,23.9,22.72,0.0
8.0,2.0,27.9,27.9,27.03,0.0
8.0,3.0,42.3,42.3,41.68,0.0
8.0,4.0,31.2,31.2,29.5,0.0
8.0,5.0,36.8,36.8,35.43,0.0
8.0,6.0,39.7,39.7,39.47,0.0
8.0,7.0,47.1,47.1,46.68,0.0
8.0,8.0,78.5,78.5,78.55,0.0
9.0,0.0,14.8,14.8,8.64,0.0
9.0,1.0,26.9,26.9,22.25,0.0
9.0,2.0,27.1,27.1,26.35,0.0
9.0,3.0,31.4,31.4,31.91,0.0
9.0,4.0,26.1,26.1,23.48,0.0
9.0,5.0,29.3,29.3,29.38,0.0
9.0,6.0,25.9,25.9,24.29,0.0
9.0,7.0,37.5,37.5,36.78,0.0
9.0,8.0,49.5,49.5,49.22,0.0
9.0,9.0,80.8,80.8,80.82,0.0
