stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,70.8,70.8,70.88,42.0
1.0,0.0,65.5,65.5,64.77,42.0
1.0,1.0,65.6,65.6,65.53,42.0
2.0,0.0,58.2,58.2,57.41,42.0
2.0,1.0,57.3,57.3,56.84,42.0
2.0,2.0,67.5,67.5,67.35,42.0
3.0,0.0,54.6,54.6,54.36,42.0
3.0,1.0,54.6,54.6,53.42,42.0
3.0,2.0,60.6,60.6,59.27,42.0
3.0,3.0,72.2,72.2,72.55,42.0
4.0,0.0,56.2,56.2,54.7,42.0
4.0,1.0,59.1,59.1,57.7,42.0
4.0,2.0,56.4,56.4,52.47,42.0
4.0,3.0,69.4,69.4,69.35,42.0
4.0,4.0,73.4,73.4,73.52,42.0
5.0,0.0,53.2,53.2,51.93,42.0
5.0,1.0,56.3,56.3,55.34,42.0
5.0,2.0,52.0,52.0,48.69,42.0
5.0,3.0,63.9,63.9,64.11,42.0
5.0,4.0,68.2,68.2,68.33,42.0
5.0,5.0,75.1,75.1,75.07,42.0
6.0,0.0,58.4,58.4,58.35,42.0
6.0,1.0,56.5,56.5,55.74,42.0
6.0,2.0,55.9,55.9,52.48,42.0
6.0,3.0,64.3,64.3,64.3,42.0
6.0,4.0,65.4,65.4,65.5,42.0
6.0,5.0,70.1,70.1,69.32,42.0
6.0,6.0,79.6,79.6,79.81,42.0
7.0,0.0,49.9,49.9,50.31,42.0
7.0,1.0,52.0,52.0,51.26,42.0
7.0,2.0,49.5,49.5,46.08,42.0
7.0,3.0,60.8,60.8,59.31,42.0
7.0,4.0,58.4,58.4,58.81,42.0
7.0,5.0,67.4,67.4,66.74,42.0
7.0,6.0,70.7,70.7,70.43,42.0
7.0,7.0,71.1,71.1,71.65,42.0
8.0,0.0,46.6,46.6,44.73,42.0
8.0,1.0,47.7,47.7,46.1,42.0
8.0,2.0,47.6,47.6,42.03,42.0
8.0,3.0,53.3,53.3,50.78,42.0
8.0,4.0,56.9,56.9,56.04,42.0
8.0,5.0,63.9,63.9,63.09,42.0
8.0,6.0,69.2,69.2,68.36,42.0
8.0,7.0,65.5,65.5,64.84,42.0
8.0,8.0,67.9,67.9,68.1,42.0
9.0,0.0,45.9,45.9,45.39,42.0
9.0,1.0,45.7,45.7,43.79,42.0
9.0,2.0,52.9,52.9,48.52,42.0
9.0,3.0,57.2,57.2,56.92,42.0
9.0,4.0,55.8,55.8,56.97,42.0
9.0,5.0,61.6,61.6,61.29,42.0
9.0,6.0,74.7,74.7,74.4,42.0
9.0,7.0,60.7,60.7,58.65,42.0
9.0,8.0,59.9,59.9,58.98,42.0
9.0,9.0,74.6,74.6,75.36,42.0
