stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,93.5,93.5,93.41,1.0
1.0,0.0,81.66,81.66,81.42,1.0
1.0,1.0,94.27,94.27,94.21,1.0
2.0,0.0,70.55,70.55,70.69,1.0
2.0,1.0,53.28,53.28,53.19,1.0
2.0,2.0,93.26,93.26,93.17,1.0
3.0,0.0,67.59,67.59,66.92,1.0
3.0,1.0,50.39,50.39,50.18,1.0
3.0,2.0,40.96,40.96,40.27,1.0
3.0,3.0,92.53,92.53,92.44,1.0
4.0,0.0,60.95,60.95,60.98,1.0
4.0,1.0,50.65,50.65,49.72,1.0
4.0,2.0,36.9,36.9,35.87,1.0
4.0,3.0,31.63,31.63,29.82,1.0
4.0,4.0,92.35,92.35,92.27,1.0
5.0,0.0,65.96,65.96,65.44,1.0
5.0,1.0,55.77,55.77,53.93,1.0
5.0,2.0,42.11,42.11,41.99,1.0
5.0,3.0,36.38,36.38,35.24,1.0
5.0,4.0,41.79,41.79,41.53,1.0
5.0,5.0,91.74,91.74,91.63,1.0
6.0,0.0,68.5,68.5,68.04,1.0
6.0,1.0,53.98,53.98,53.38,1.0
6.0,2.0,46.73,46.73,45.62,1.0
6.0,3.0,32.27,32.27,30.48,1.0
6.0,4.0,40.19,40.19,39.45,1.0
6.0,5.0,32.97,32.97,30.84,1.0
6.0,6.0,90.82,90.82,90.71,1.0
7.0,0.0,66.13,66.13,65.9,1.0
7.0,1.0,49.85,49.85,48.41,1.0
7.0,2.0,46.2,46.2,44.6,1.0
7.0,3.0,31.47,31.47,30.26,1.0
7.0,4.0,37.76,37.76,37.23,1.0
7.0,5.0,32.93,32.93,30.68,1.0
7.0,6.0,39.11,39.11,39.52,1.0
7.0,7.0,90.91,90.91,90.79,1.0
8.0,0.0,55.4,55.4,54.47,1.0
8.0,1.0,52.9,52.9,51.42,1.0
8.0,2.0,40.85,40.85,40.64,1.0
8.0,3.0,34.44,34.44,30.85,1.0
8.0,4.0,38.12,38.12,37.66,1.0
8.0,5.0,17.78,17.78,15.95,1.0
8.0,6.0,29.65,29.65,28.98,1.0
8.0,7.0,34.31,34.31,33.99,1.0
8.0,8.0,90.95,90.95,90.83,1.0
9.0,0.0,59.93,59.93,58.47,1.0
9.0,1.0,49.0,49.0,47.59,1.0
9.0,2.0,38.21,38.21,34.72,1.0
9.0,3.0,34.62,34.62,33.52,1.0
9.0,4.0,39.78,39.78,39.45,1.0
9.0,5.0,35.13,35.13,33.66,1.0
9.0,6.0,29.22,29.22,27.29,1.0
9.0,7.0,24.37,24.37,22.69,1.0
9.0,8.0,28.89,28.89,27.9,1.0
9.0,9.0,91.71,91.71,91.59,1.0
