stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,99.41,99.41,99.41,42.0
1.0,0.0,93.24,93.24,93.21,42.0
1.0,1.0,99.45,99.45,99.45,42.0
2.0,0.0,73.11,73.11,70.95,42.0
2.0,1.0,97.28,97.28,97.28,42.0
2.0,2.0,100.0,100.0,100.0,42.0
3.0,0.0,88.54,88.54,88.53,42.0
3.0,1.0,92.33,92.33,92.33,42.0
3.0,2.0,99.47,99.47,99.47,42.0
3.0,3.0,99.91,99.91,99.9,42.0
4.0,0.0,88.79,88.79,88.73,42.0
4.0,1.0,92.33,92.33,92.29,42.0
4.0,2.0,97.87,97.87,97.86,42.0
4.0,3.0,98.11,98.11,98.09,42.0
4.0,4.0,99.9,99.9,99.9,42.0
