stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,97.7,97.7,97.7,42.0
1.0,0.0,84.08,84.08,83.98,42.0
1.0,1.0,96.87,96.87,96.87,42.0
2.0,0.0,57.35,57.35,55.51,42.0
2.0,1.0,77.16,77.16,77.12,42.0
2.0,2.0,99.63,99.63,99.63,42.0
3.0,0.0,67.24,67.24,67.2,42.0
3.0,1.0,62.03,62.03,62.03,42.0
3.0,2.0,62.27,62.27,58.26,42.0
3.0,3.0,99.72,99.72,99.71,42.0
4.0,0.0,67.04,67.04,66.95,42.0
4.0,1.0,75.54,75.54,75.41,42.0
4.0,2.0,57.63,57.63,54.71,42.0
4.0,3.0,81.75,81.75,81.75,42.0
4.0,4.0,99.55,99.55,99.55,42.0
