stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,99.8,99.8,99.8,42.0
1.0,0.0,81.88,81.88,81.29,42.0
1.0,1.0,99.85,99.85,99.85,42.0
2.0,0.0,35.95,35.95,27.8,42.0
2.0,1.0,89.36,89.36,89.29,42.0
2.0,2.0,100.0,100.0,100.0,42.0
3.0,0.0,42.07,42.07,39.01,42.0
3.0,1.0,68.84,68.84,67.55,42.0
3.0,2.0,93.54,93.54,93.54,42.0
3.0,3.0,99.95,99.95,99.95,42.0
4.0,0.0,54.55,54.55,52.8,42.0
4.0,1.0,88.05,88.05,87.95,42.0
4.0,2.0,83.19,83.19,83.15,42.0
4.0,3.0,89.13,89.13,88.87,42.0
4.0,4.0,99.95,99.95,99.95,42.0
